,Team,GP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League,W/L%
81,Indiana Pacers,82,34.4,72.5,0.475,7.9,21.2,0.374,26.5,51.3,0.517,13.2,17.6,0.752,7.8,28.1,35.8,21.7,7.2,4.1,11.4,16.2,90.0,2018,NBA,0.472
82,Phoenix Suns,82,33.4,72.8,0.459,8.0,24.4,0.329,25.4,48.4,0.525,14.7,18.9,0.779,7.6,26.1,33.7,19.9,7.5,4.2,13.0,19.7,89.6,2018,NBA,0.708
83,Orlando Magic,82,33.7,74.2,0.454,9.5,26.8,0.356,24.2,47.5,0.509,12.5,16.0,0.782,8.3,29.5,37.8,21.2,5.5,4.5,11.0,15.5,89.4,2018,NBA,0.292
84,Detroit Pistons,82,32.3,73.6,0.44,10.1,29.0,0.348,22.2,44.6,0.5,14.4,19.3,0.747,9.5,28.0,37.5,18.8,5.8,3.3,11.5,18.4,89.2,2018,NBA,0.278
85,Miami Heat,82,33.0,73.3,0.45,9.4,27.0,0.349,23.6,46.3,0.509,12.6,18.1,0.695,9.3,29.3,38.6,20.2,6.3,4.6,12.2,17.4,88.1,2018,NBA,0.556
86,Chicago Bulls,82,33.2,73.3,0.453,7.6,21.6,0.351,25.6,51.7,0.496,13.5,17.2,0.783,7.3,28.4,35.8,18.2,6.2,3.6,11.8,16.9,87.4,2018,NBA,0.431
87,New York Knicks,82,31.8,73.6,0.433,8.3,24.6,0.34,23.5,49.0,0.479,15.1,19.9,0.759,8.8,28.6,37.3,16.8,5.7,4.2,11.7,17.4,87.2,2018,NBA,0.569
88,Cleveland Cavaliers,82,32.4,73.0,0.444,8.6,24.3,0.355,23.8,48.8,0.488,13.7,17.2,0.792,8.9,26.6,35.6,17.2,5.4,2.0,11.2,16.7,87.1,2018,NBA,0.306
89,Memphis Grizzlies,82,31.7,70.3,0.45,8.2,24.1,0.342,23.4,46.3,0.505,14.8,19.2,0.772,7.3,27.5,34.8,19.9,6.9,4.6,11.7,18.3,86.2,2018,NBA,0.528
90,Milwaukee Bucks,73,36.1,75.8,0.476,11.5,32.4,0.355,24.6,43.3,0.567,15.3,20.6,0.742,7.9,35.2,43.1,21.6,6.0,4.9,12.6,16.3,98.9,2019,NBA,0.639
